old_family,new_family,commodity_type,spend_category_workday_gl_code,commodity_group,financial_treatment,description
IT Hardware,Technology Infrastructure,Compute & Servers,SC-10100 / 60010 - IT Hardware Direct,Data Center Infrastructure,CapEx,"Physical rack servers, blade systems, and compute nodes for enterprise hosting."
IT Hardware,Technology Infrastructure,Laptops & Desktops,SC-10110 / 60020 - End User Computing,Workplace Technology,CapEx,"Employee workstation hardware including Windows, Mac, and desktop units."
IT Hardware,Technology Infrastructure,Networking Equipment,SC-10120 / 60030 - Network & Telecom Hardware,Data Center Infrastructure,CapEx,"Core switches, routers, firewalls, and wireless access points."
IT Hardware,Technology Infrastructure,Storage Arrays,SC-10130 / 60050 - Data Storage Assets,Data Center Infrastructure,CapEx,"SAN/NAS storage hardware, disk arrays, and high-capacity flash systems."
IT Hardware,Technology Infrastructure,Monitors & Peripherals,SC-10140 / 60060 - Computer Peripherals,Workplace Technology,OpEx,"External displays, keyboards, mice, docking stations, and webcams."
IT Hardware,Technology Infrastructure,Mobile Devices,SC-10150 / 60070 - Mobile Hardware,Workplace Technology,OpEx,"Corporate smartphones, cellular tablets, and ruggedized field devices."
IT Hardware,Technology Infrastructure,AV & Video Conferencing,SC-10160 / 60080 - AV Hardware,Workplace Technology,CapEx,"Conference room displays, video bars, microphones, and room controllers."
IT Hardware,Technology Infrastructure,Mainframe Systems,SC-10170 / 60090 - Legacy Hardware,Data Center Infrastructure,CapEx,Legacy high-volume central processing hardware and system modules.
IT Hardware,Technology Infrastructure,Server Components & Parts,SC-10180 / 60100 - Hardware Maintenance Parts,Data Center Infrastructure,OpEx,"Replacement RAM, power supplies, RAID controllers, and cabling spare parts."
IT Hardware,Technology Infrastructure,Printers & Scanners,SC-10190 / 60110 - Printing Hardware,Workplace Technology,OpEx,"Office multi-function printers, badge scanners, and desktop print units."
Software & Cloud,Technology Services,SaaS Platforms,SC-20200 / 61100 - Cloud Software Subscription,Enterprise Software,OpEx,"Cloud-hosted application subscriptions, productivity tools, and software services."
Software & Cloud,Technology Services,IaaS / Cloud Compute,SC-20210 / 61110 - Hosting & Cloud Infrastructure,Cloud Services,OpEx,"Public cloud infrastructure capacity including AWS, Azure, and GCP compute nodes."
